id;title;artists;langauge;genre
987231;Time Bomb;Methods of Mayhem;en;rock
79954;Triumph;DNick;en;rap
500891;Говори как есть;JayOut (Ft. JayOut);ru;rap
55399;Girl;Das Racist;en;rap
135049;Quizás no;C-Kan;es;rap
733378;Sasha (Sex Secret);2raumwohnung;de;rock
732057;Merci, bisous;Kybah Shade (Ft. Upbeat);fr;rap
51333;On Tha Block #1 - Skit;Lil Wayne;en;rap
399758;Warm Ways;Fleetwood Mac;en;rock
855485;Rites Of Supremacy;Berserk;en;pop
858884;Between the Walls;Aloha;en;pop
503247;August 22, 2014;Home Runs of the Day;en;
864741;Vertigo;December;en;pop
35032;Man’s World;Nature;en;rap
995703;Senza Rimorso;Zucchero;it;pop
376761;Drapeau tâché de sang;Maska;fr;rap
811353;Where Diamonds Grow;MARINA;en;pop
219339;Please Don’t Drive Me Away;Sam Cooke;en;r-b
979755;Invisible;Painbastard;en;pop
215339;Leseprobe: Intro;Samy Deluxe;de;rap
980328;Megalomaniac;Frank Tovey;en;pop
943378;Wartunes;SuidAkrA;en;pop
2085;Pull My Hair;Ying Yang Twins;en;rap
663615;Blow (Country Club Martini Crew Remix Edit);Beyoncé (Ft. Pharrell Williams);en;pop
957737;Love Lies Dying;Strangeways;en;rock
543082;An Animal;Blood Red Shoes;en;rock
529927;Z Hunna vs Orriginal (battle);Z-hunna;en;rap
272966;The Camel;James Tate;en;
876375;Chance To Change;Hey! Say! JUMP;None;pop
38747;I Ain’t Fuckin’ Wit Cha;CJ Mac;en;rap
212423;Flucht in Ketten;Creutzfeld & Jakob;de;rap
460021;Tango à terre;Luidji;fr;rap
330797;Vanité (Memento mori);VII;fr;rap
820287;Torra Fy Ngwallt Yn Hir;Super Furry Animals;cy;pop
934968;The Aftermath;Priscilla Hernandez;en;pop
878902;Rockin’ Cats;The Quakes;en;pop
63468;Feuer;Vega;de;rap
358900;Énorme;Alonzo;es;rap
178392;The Gambler (Chap. 12);Fyodor Dostoevsky (Ft. C.J. Hogarth);en;
921914;Summer Song;The Anywheres;en;pop
348365;Liberal Arts Majors and Employment;Association of American Colleges and Universities;en;
377482;C’est évident;Beink (Ft. Djamben);fr;rap
44792;Running Out Of Time “ROOT”;Tech N9ne;en;rap
690927;Keep Our Love Alive;AFROJACK (Ft. Matthew Koma);en;pop
50313;Cannon Flow;QCBP;en;rap
780881;Como Una Mierda;Soziedad Alkoholika;es;pop
18958;K.I.M.;EPMD (Ft. Keith Murray & Redman);en;rap
804703;Indian Summer;Brewer & Shipley;en;rock
8985;Rhymes Galore;Busta Rhymes;en;rap
99901;Only of You;Green Day;en;rock
655318;Trinity;1josephjohn;en;rap
224928;That wildfire shit;Monster Mike (Ft. I Am Kevo);en;rap
67898;X & Y;Kery James;fr;rap
68878;I-Dreamt;XsMph;en;rap
904484;Portland, OR;Into It. Over It.;en;pop
912237;12 Years a Slave Chapter 3;Solomon Northup;en;
803684;Straight;Amanda Palmer;en;pop
444936;Ring Til Politiet;Bring Det På;da;rap
895958;If We Don’t Belong Together;The Kings;en;pop
858828;Complex;Calibre;en;pop
575347;3hree Kings;The Underachievers (Ft. Freeway);en;rap
464016;Al Muqaddima Part 20 : الباب الثاني : الفصل الأول في أن أجيال البدو و الحضر طبيعية;Ibn Khaldoun - إبن خلدون;ar;
196829;Fullorðins;BlazRoca (Ft. Friðrik Dór);is;rap
347381;Shedding Skin;Pantera;en;rock
310804;Jack Bauer Man-Crush;The Key of Awesome;en;rock
837523;Hang;Avail;en;rock
366137;Suprised To Be Alive;Dice Raw;en;rap
449596;#9 “Racismes Divers”;Piège de Freestyle (Ft. D.A., Grems, Ismaël Metis, Kenyon, La Jonction & Vicelow);fr;rap
980753;Disregarded Youth;Krum Bums;en;pop
51662;Nosebleed;Vinnie Paz (Ft. Myrkur & R.A. The Rugged Man);en;rap
892873;Telefonoan;Itoiz;eu;pop
576798;Tu-parles d’un [put annotation here] de cave !;Mon'Oncle aka OXiD;fr;rap
480866;Driver;David Dilin;en;rap
362131;Λόγια Νυχτερινά (Logia Nyhterina);Solmeister;en;rap
33319;Houston Oilers;Mike Jones;en;rap
215537;Up the Cuts;Against Me!;en;rock
126314;Mess With The Mighty;Heather P Wilson;en;
489379;The Unified Field;IAMX;en;rock
63224;Danger;Amir Sulaiman;en;rap
965339;Kunnia Saatanalle;Horna;fi;pop
779635;I Saw You Fall;Amber Asylum;en;pop
876144;Chaos;Electric Soft Parade;en;pop
527943;Victim’s Story;Diabolic;en;rap
330301;Brothers;Defeater;en;rock
872559;Turn Me Down;Paddy Goes To Holyhead;en;pop
943251;Ghost Inside;Gun Barrel;en;pop
587305;Straight from the Soul;Flash the Ripper;en;rap
889145;Middle Of The Night;Wes Swing;en;pop
379066;Sleepsong;Bastille;en;rock
115771;Lost Ones;Lil B;en;rap
517431;Tibia;LMN (POL);pl;rap
675594;Sejanus His Fall  Act 1. Scene 2;Ben Jonson;en;
400807;Mazzieh (African in Paris);Kazik;en;rock
100075;“Of Cannibals”;Michel de Montaigne;en;rap
701082;Palm Trees (Remix);PLK (Ft. 2zer & Aladin 135);fr;rap
172271;Timon of Athens  Act 2 Scene 1;William Shakespeare;en;
259149;Rolling Home;Santiano;de;rock
938626;Firecracker People;Hotel Lights;en;pop
990306;No Geit’s;Patent Ochsner;de;pop
829829;Cheap Thrill;Bastardolomey;en;pop
875277;Just Slaves;Lola Angst;en;pop
256729;La era de Dios;Logan Hate;es;rap
40810;In the House;Run–DMC;en;rap
20473;Potnas;Will Smith;en;rap
525060;Bud Pils;Morlockk Dilemma;de;rap
881794;She’s So Wild;Donnie Iris;en;rock
974158;Street Life;Tank;en;pop
